Year,WomenHeartDeath,MenHeartDeath,WomenCancerDeath,MenCancerDeath
1969,317341,421729,146360,175404
1970,300580,410665,146419,176437
1971,300580,405475,145698,177237
1972,296901,398428,146521,179886
1973,288513,397265,145001,178978
1974,273093,378257,145331,181188
1975,255992,361213,144232,180842
1976,255686,355684,146392,183119
1977,246699,345037,146771,184137
1978,245266,339654,147530,185466
1979,242012,331359,146863,186268
1980,247178,331951,149299,187664
1981,239187,322598,149415,186431
1982,234969,315049,151021,188094
1983,235300,312503,151768,188681
1984,229718,303036,153729,189332
1985,226826,298612,154273,189641
1986,222399,288042,154775,189454
1987,217520,278512,154665,189569
1988,215187,273531,155437,189242
1989,202403,256697,156887,189887
1990,194314,246705,157094,190127
1991,189798,240318,157540,189064
1992,184578,233184,156696,186657
1993,187168,233771,156612,185750
1994,180608,224891,156188,182980
1995,178213,220379,155199,179735
1996,174024,213860,153155,176578
1997,169080,206700,150951,172371
1998,165883,199940,148922,169392
1999,163218,193540,148973,168100
2000,156954,185515,148254,164890
2001,152879,178601,146253,162393
2002,148776,175466,144952,159898
2003,143545,168858,142840,155826
2004,134298,158177,139900,151948
2005,131060,154228,138314,150126
2006,123574,147327,136659,146488
2007,117383,140634,134240,143919
2008,114986,137529,131595,141504
2009,108422,132481,129647,138636
2010,105243,128853,128256,136899
2011,102653,126075,126200,134090
2012,100463,124171,124673,131823
2013,99564,124314,122286,128782
2014,98182,122843,121027,126918
2015,93700,117934,119010,125153
2016,91209,115517,117216,123019
2017,88717,113100,115421,120885
2018,87424,112070,114129,119493
2019,86130,112040,112838,118101
2020,84837,110010,111546,116709
